time,open,high,low,close,vwap,volume,count,EMA3,EMA5,EMA8,EMA10,EMA12,EMA15,EMA30,EMA35,EMA40,EMA45,EMA50,EMA60,stochRSI,BB_middle,BB_upper,BB_lower
1708214400,51700.1,52392.1,51231.1,52156.3,51856.2,1645.27261209,20234,51931.88014982912,51529.999925202836,50684.091519160385,50103.86510413146,49559.90305862317,48837.717488603754,46639.4079731746,46232.743285792174,45915.40562812139,45663.03841707126,45458.89247967461,45151.69069076833,97.28908300646745,46772.965,54345.949512403284,39199.98048759671
1708300800,52157.1,52475.6,51704.8,51771.1,52151.9,1628.62918710,20670,51851.49007491456,51610.36661680536,50925.64899544825,50406.99947523058,49900.09286781064,49204.43263504404,46972.82032042662,46544.567630687205,46207.40309076976,45937.47545351733,45718.01100473131,45385.99961918915,95.14610109382961,47213.719999999994,54872.40532310865,39555.03467689134
1708387200,51771.2,52991.8,50663.7,52270.1,51926.9,4612.93475308,31235,52060.79503745728,51830.27774453019,51224.41581554904,50745.74356801756,50264.698397997985,49587.55920837975,47310.06486746913,46854.652466116015,46490.85965948227,46195.65902252915,45952.56457656279,45578.29973525325,92.90237388586968,47699.64,55346.69809691544,40052.58190308456
1708473600,52270.1,52359.9,50636.4,51866.9,51351.3,2178.54135636,28718,51963.84751872864,51842.485163000136,51367.189870916445,50949.58585296137,50511.15834105054,49872.23308872949,47590.60852079019,47109.28799024362,46716.524955675064,46391.17290939162,46117.82480416831,45685.003277268486,87.87873568332064,48139.225,55682.47892436845,40595.97107563155
1708560000,51866.9,52035.0,50890.2,51300.1,51575.2,1926.74006003,24141,51631.97375936432,51661.69010868278,51352.28117728194,51013.319175257835,50632.560115901244,50050.91177228027,47840.70613980825,47361.20271653501,46969.43018767607,46645.526199341446,46374.48519482007,45948.82959036728,78.04300376417542,48544.935000000005,55847.90821596485,41241.96178403516
1708646400,51300.1,51472.4,50456.0,50739.4,51031.4,1510.21978084,22003,51185.686879682165,51354.26007242568,51216.08505337442,50963.50928532105,50648.94889404542,50136.613123536255,48007.87561723323,47513.72310817079,47099.34594891755,46748.164263183346,46447.2608449094,45959.08588472015,68.1474499996772,48932.765,55825.32878520359,42040.20121479641
1708732800,50739.4,51650.0,50589.7,51554.5,51204.8,942.00205046,15680,51370.09343984108,51421.00671497626,51291.28864313279,51070.96774340769,50788.30654338794,50314.163576339684,48254.04588632443,47768.96114297471,47363.88893285584,47023.046230396096,46733.60851958373,46270.951483327786,60.2270544310874,49380.92,55708.33501613415,43053.504983865845
1708819200,51554.5,51936.7,51300.0,51733.8,51686.3,1220.61894467,14195,51551.94671992054,51525.27114329435,51389.62425943546,51191.47767253117,50933.72929650843,50491.33579097567,48462.96983063345,47961.63234878921,47534.67818418133,47168.70853536122,46852.45470578766,46334.81755698996,52.03497268064358,49835.11,55425.92198142095,44244.29801857905
1708905600,51733.8,54920.0,50950.0,54525.4,53151.3,5241.13945742,43438,53038.673359960274,52525.31409551547,52086.46316631227,51797.64230831629,51486.271021134235,50995.421934492784,48844.61176700617,48309.48516114065,47849.89054464662,47452.553332148964,47106.332315593514,46533.20289494393,48.586056720755835,50407.130000000005,55430.606698900876,45383.65330109913
1708992000,54525.4,57572.6,54478.8,57072.6,56401.0,5285.87451429,50826,55055.63667998013,54041.076063678396,53194.49358852731,52756.72583247335,52345.708559640065,51755.08646381721,49376.40254871688,48798.01306976097,48302.371095730654,47874.43472937321,47501.89123522863,46885.806560813406,49.80278305875792,51044.08,56056.129647240145,46032.03035275986
1709078400,57066.2,64015.8,56000.4,62487.8,60364.4,10911.28773542,106181,58771.71833999007,56856.65070912141,55259.672816831124,54526.01258241106,53906.034360597725,53096.705855465625,50223.96524143028,49561.50869974707,48998.876004402264,48516.125600409156,48097.835692609646,47409.674090288696,51.138183687929974,51901.990000000005,58370.16536462951,45433.8146353705
1709164800,62489.8,63583.5,60108.8,61180.9,61917.9,6805.48164512,70008,59976.30916999503,58298.06713946703,56575.501628118334,55736.003560734214,55025.3304978054,54107.87313356214,50966.33847440565,50269.882502394525,49689.63269261386,49201.48585000677,48786.80633849127,48123.65092624353,51.56029090320078,52604.685,59851.87064362056,45357.499356379434
1709251200,61180.9,63150.0,60800.1,62434.3,62082.1,3522.12836667,37012,61205.30458499752,59676.81142633287,57877.45704554516,56953.8803101583,56165.20705476254,55148.938774454655,51720.6768263667,50971.320713662266,50350.690688027695,49831.77676859038,49393.75524282498,48699.909980721764,51.93736708158965,53337.740000000005,61401.7240010754,45273.75599892461
1709337600,62434.3,62500.0,61663.3,62033.7,62076.8,2212.55763597,22204,61619.50229249876,60462.44095083085,58801.06599094049,57877.471363415694,57067.95797600388,56008.83031946713,52347.21580484564,51517.12201186849,50814.98657846944,50214.88128655406,49696.952115656386,48849.88748353275,52.222865517772085,54024.67500000001,62579.113492122095,45470.236507877926
1709424000,62028.6,63255.0,61400.0,63178.2,62450.3,1592.02456275,26888,62398.85114624938,61367.69396725762,59773.76282255398,58841.24824713534,58008.055642136234,56905.45316476831,53070.90524014752,52209.105500242906,51485.857665613665,50873.126536484226,50349.183089550184,49504.014864538934,60.31882374010494,54686.4,63897.99218637039,45474.80781362961
1709510400,63178.3,68521.0,62262.0,68323.1,65990.5,6106.30852540,70168,65360.97557312469,63686.16264483755,61673.61551960657,60565.221104250966,59594.98412392922,58332.64841118086,54054.332573087406,53103.290521479365,52305.5943695898,51629.5985405428,51051.140530755394,50116.704122290845,70.21573784659641,55614.784999999996,66279.43693773805,44950.13306226194
